French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
parlé,speak
arrivé,come
devrait,should
longtemps,long time
vont,will
revoir,meet again
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
point,point
venu,came
suite,after
minutes,minutes
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
aura,will have
filles,girls
jouer,to play
